"RegionName","United States"
"Date","100000"
"X1996.05","100100"
"1996-06-01","100300"
"1996-07-01","100500"
"1996-08-01","100800"
"1996-09-01","101000"
"1996-10-01","101300"
"1996-11-01","101500"
"1996-12-01","101900"
"1997-01-01","102200"
"1997-02-01","102500"
"1997-03-01","102800"
"1997-04-01","103000"
"1997-05-01","103300"
"1997-06-01","103600"
"1997-07-01","104000"
"1997-08-01","104400"
"1997-09-01","104700"
"1997-10-01","105200"
"1997-11-01","105600"
"1997-12-01","106100"
"1998-01-01","106600"
"1998-02-01","107200"
"1998-03-01","107700"
"1998-04-01","108200"
"1998-05-01","108800"
"1998-06-01","109400"
"1998-07-01","110000"
"1998-08-01","110600"
"1998-09-01","111100"
"1998-10-01","111700"
"1998-11-01","112300"
"1998-12-01","112900"
"1999-01-01","113500"
"1999-02-01","114000"
"1999-03-01","114400"
"1999-04-01","114900"
"1999-05-01","115400"
"1999-06-01","116100"
"1999-07-01","116800"
"1999-08-01","117500"
"1999-09-01","118300"
"1999-10-01","119000"
"1999-11-01","119700"
"1999-12-01","120600"
"2000-01-01","121500"
"2000-02-01","122300"
"2000-03-01","123000"
"2000-04-01","123600"
"2000-05-01","124200"
"2000-06-01","124800"
"2000-07-01","125300"
"2000-08-01","125800"
"2000-09-01","126200"
"2000-10-01","126700"
"2000-11-01","127200"
"2000-12-01","127900"
"2001-01-01","128600"
"2001-02-01","129300"
"2001-03-01","129900"
"2001-04-01","130600"
"2001-05-01","131200"
"2001-06-01","131700"
"2001-07-01","132200"
"2001-08-01","132800"
"2001-09-01","133300"
"2001-10-01","133900"
"2001-11-01","134600"
"2001-12-01","135200"
"2002-01-01","136000"
"2002-02-01","136700"
"2002-03-01","137400"
"2002-04-01","138100"
"2002-05-01","138800"
"2002-06-01","139500"
"2002-07-01","140100"
"2002-08-01","140800"
"2002-09-01","141500"
"2002-10-01","142300"
"2002-11-01","143200"
"2002-12-01","144000"
"2003-01-01","144800"
"2003-02-01","145500"
"2003-03-01","146200"
"2003-04-01","147100"
"2003-05-01","147900"
"2003-06-01","148800"
"2003-07-01","149700"
"2003-08-01","150600"
"2003-09-01","151600"
"2003-10-01","152600"
"2003-11-01","153800"
"2003-12-01","154900"
"2004-01-01","156100"
"2004-02-01","157400"
"2004-03-01","158700"
"2004-04-01","160100"
"2004-05-01","161600"
"2004-06-01","163100"
"2004-07-01","164800"
"2004-08-01","166400"
"2004-09-01","167900"
"2004-10-01","169300"
"2004-11-01","170700"
"2004-12-01","172000"
"2005-01-01","173200"
"2005-02-01","174400"
"2005-03-01","175700"
"2005-04-01","177100"
"2005-05-01","178700"
"2005-06-01","180300"
"2005-07-01","182000"
"2005-08-01","183700"
"2005-09-01","185300"
"2005-10-01","186800"
"2005-11-01","188200"
"2005-12-01","189600"
"2006-01-01","190900"
"2006-02-01","192100"
"2006-03-01","193300"
"2006-04-01","194500"
"2006-05-01","195500"
"2006-06-01","196600"
"2006-07-01","197500"
"2006-08-01","198200"
"2006-09-01","198700"
"2006-10-01","199100"
"2006-11-01","199300"
"2006-12-01","199500"
"2007-01-01","199700"
"2007-02-01","199900"
"2007-03-01","200100"
"2007-04-01","200400"
"2007-05-01","200500"
"2007-06-01","200000"
"2007-07-01","199200"
"2007-08-01","198400"
"2007-09-01","197700"
"2007-10-01","196700"
"2007-11-01","195700"
"2007-12-01","194600"
"2008-01-01","193300"
"2008-02-01","191900"
"2008-03-01","190400"
"2008-04-01","188800"
"2008-05-01","187000"
"2008-06-01","185100"
"2008-07-01","183400"
"2008-08-01","181700"
"2008-09-01","180000"
"2008-10-01","178500"
"2008-11-01","177000"
"2008-12-01","175600"
"2009-01-01","174300"
"2009-02-01","173000"
"2009-03-01","171600"
"2009-04-01","170100"
"2009-05-01","168500"
"2009-06-01","166800"
"2009-07-01","165700"
"2009-08-01","164800"
"2009-09-01","164000"
"2009-10-01","163400"
"2009-11-01","163100"
"2009-12-01","162900"
"2010-01-01","163000"
"2010-02-01","163200"
"2010-03-01","162800"
"2010-04-01","161900"
"2010-05-01","161400"
"2010-06-01","161400"
"2010-07-01","160900"
"2010-08-01","160100"
"2010-09-01","159200"
"2010-10-01","158300"
"2010-11-01","157600"
"2010-12-01","156600"
"2011-01-01","155300"
"2011-02-01","154300"
"2011-03-01","153500"
"2011-04-01","152800"
"2011-05-01","152200"
"2011-06-01","151600"
"2011-07-01","150900"
"2011-08-01","150400"
"2011-09-01","149900"
"2011-10-01","149600"
"2011-11-01","149400"
"2011-12-01","149200"
"2012-01-01","148800"
"2012-02-01","148700"
"2012-03-01","148800"
"2012-04-01","149100"
"2012-05-01","149500"
"2012-06-01","149900"
"2012-07-01","150400"
"2012-08-01","150900"
"2012-09-01","151400"
"2012-10-01","151900"
"2012-11-01","152400"
"2012-12-01","153000"
"2013-01-01","153700"
"2013-02-01","154300"
"2013-03-01","155200"
"2013-04-01","156200"
"2013-05-01","157100"
"2013-06-01","158100"
"2013-07-01","159300"
"2013-08-01","160400"
"2013-09-01","161300"
"2013-10-01","162200"
"2013-11-01","162800"
"2013-12-01","163500"
"2014-01-01","164400"
"2014-02-01","165000"
"2014-03-01","165700"
"2014-04-01","166500"
"2014-05-01","167300"
"2014-06-01","167900"
"2014-07-01","168700"
"2014-08-01","169500"
"2014-09-01","170100"
"2014-10-01","170600"
"2014-11-01","171100"
"2014-12-01","171600"
"2015-01-01","172300"
"2015-02-01","173000"
"2015-03-01","173700"
"2015-04-01","174500"
"2015-05-01","175400"
"2015-06-01","176300"
"2015-07-01","177300"
"2015-08-01","178000"
"2015-09-01","178700"
"2015-10-01","179500"
"2015-11-01","180300"
"2015-12-01","181000"
"2016-01-01","181800"
"2016-02-01","182600"
"2016-03-01","183600"
"2016-04-01","184700"
"2016-05-01","185800"
"2016-06-01","187000"
"2016-07-01","188200"
"2016-08-01","189400"
"2016-09-01","190600"
"2016-10-01","191800"
"2016-11-01","192800"
"2016-12-01","193900"
"2017-01-01","195000"
"2017-02-01","196100"
"2017-03-01","197200"
"2017-04-01","198700"
"2017-05-01","200200"
"2017-06-01","201300"
"2017-07-01","202400"
"2017-08-01","203700"
"2017-09-01","204900"
"2017-10-01","205900"
"2017-11-01","206800"
"2017-12-01","207900"
"2018-01-01","209400"
"2018-02-01","211100"
"2018-03-01","212600"
"2018-04-01","213900"
"2018-05-01","215300"
"2018-06-01","216700"
"2018-07-01","217900"
"2018-08-01","219000"
"2018-09-01","220300"
"2018-10-01","221700"
"2018-11-01","223200"
"2018-12-01","224500"
"2019-01-01","225600"
"2019-02-01","226300"
"2019-03-01","226700"
